2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'gusrysp' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'bluemac95' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'kswhsk0517' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'db3641' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'fmpm' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'destiny06' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'sue0421sue' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'veekoki69' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'mysa2da' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'soy730' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'choijinsun' for key 'PRIMARY'
2013-03-14 09:41:30 [::1] ERROR : /Users/seosh81/project/marutm/inc/idb.inc on line 193 : mysqli exec error : Duplicate entry 'hyehong' for key 'PRIMARY'
